ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży 
521;Buty Nike SB Portmore II Solar MID "Dark Grey";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_010_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923198_010_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
522;Buty adidas Munchen "Blue";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9791_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY9791_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1
523;Buty adidas Superstar "Green";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0200_2D_0001__2_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BZ0200_2D_0003.jpg;Buty Męskie;Rozmiary:  42  42 2/3  43 1/3  44 2/3  45 1/3  46  46 2/3 41 1/3, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
524;Buty adidas Jake Boot 2.0 "Brown";649.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4109_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4109_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 38 2/3, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
525;Buty adidas Jake Boot 2.0 "Collegiate Navy";649.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4110_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/BY4110_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42  42 2/3  43 1/3  44  44 2/3  45 1/3  46  46 2/3 38 2/3, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
526;Buty Nike SB Portmore II Solar PRM "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_010_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_010_2D_0003.jpg;Buty Męskie;Rozmiary:  43  44 42, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
527;Buty Nike Zoom Stefan Janoski "Hazelnut";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/333824_214_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/333824_214_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
528;Buty Lacoste Carnaby Evo BL 1 SPM "Navy";459.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/733SPM1002003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  44.5  45  46  47 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
529;Buty Nike Air Vibenna "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/866069_003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
530;Buty adidas Jake Blauvelt Boot "Black";499.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/G56462_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/G56462_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42 2/3  43 1/3  44  44 2/3  46 38 2/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
531;Buty Nike Zoom Span 2 Shield "Black Noir";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
532;Buty The North Face Back Chilkat III "TNF Black";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6WE3I05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6WE3I05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
533;Buty Nike Air Max Guile Prem "Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
534;Buty Nike Classic Cortez SE "Dust";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902801_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902801_003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
535;Buty The North Face Men's Chilkat III "Carafe Brown";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6ZFDI05_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6ZFDI05_2D_0003~1.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
536;Buty The North Face Edgewood 7 "Dark Shadow Grey";599.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6ZU5I05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6ZU5I05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
537;Buty The North Face Men's Edgewood 7" "Urban Navy";599.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6M6SI05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6M6SI05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
538;Buty Caterpillar Deplete WP "Brown";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721722_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721722_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
539;Buty Caterpillar Deplete WP Lace UP Boot "Black Noir";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721724_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721724_2D_0003~2.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
540;Buty Nike SB Portmore ll Solar PRM "White";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_141_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_141_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
541;Buty Nike SB ZOOM Janoski HT "Black";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_007_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_007_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
542;Buty Asics GT-Cool "Olive";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H436L8602_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H436L8602_2D_0003.jpg;Buty Męskie;Rozmiary:  39.5  40.5  41  41.5  42.5  43  43.5  44  45  45.5 39, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
543;Buty Asics GT Quick "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H420L9001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H420L9001_2D_0003.jpg;Buty Męskie;Rozmiary:  39  39.5  40.5  41.5  42  42.5  43.5  44  45  46  46.5  47  49 38, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
544;Buty Asics GT-II "Navy";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H40SK5053_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H40SK5053_2D_0003.jpg;Buty Męskie;Rozmiary:  40.5  41  41.5  42.5  43  43.5  44  45 39, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
545;Buty Puma Rebound Street V2 "Olive Night";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/36371504_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/36371504_2D_0003.jpg;Buty Męskie;Rozmiary:  45 41, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
546;Buty Puma BMW MS Drift Cat 7 "Navy";369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/30598601_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/30598601_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
547;Buty Mt Trek New Extreem "Black";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/MTJ17517061A_2D_0001__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/MTJ17517061A_2D_0001__5_.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
548;Buty Onitsuka Tiger Colorado Eighty-Five "Soft Grey";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/D429N1011_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/D429N1011_2D_0003.jpg;Buty Męskie;Rozmiary:  42.5  43.5  44  44.5  45  46 38, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
549;Buty Diadora Titan ll "Tibetan Red";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501158623C7110__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501158623C7110__5_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45  46 41, Kolor: Czerwony, Sezon: Jesień/Zima;1;200;1
550;Buty Diadora N9000 Premium "Red Brick";599.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/50117229345002_2D_0006__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/50117229345002_2D_0006__5_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45 41, Kolor: Czerwony, Sezon: Jesień/Zima;1;200;1
551;Buty Diadora Camaro "Black";349.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501159886C2609_2D_0006__3_~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501159886C2609_2D_0006__5_~1.jpg;Buty Męskie;Rozmiary:  40.5  41  42  42.5  43  44  44.5  45  45.5  46 40, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
552;Buty Diadora V7000 Nylon II "Castlerock";479.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170939C6945_2D_0001__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170939C6945_2D_0001__5_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
553;Buty Diadora V7000 Premium "Castle Rock";569.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501172294C6990_2D_0001__1_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501172294C6990_2D_0001__3_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
554;Buty Diadora Titan II "Stretch Limo";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501158623C7111__1_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501158623C7111__3_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
555;Buty Diadora N9000 Italia "After Dark";799.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170468C7032_2D_0001__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501170468C7032_2D_0001__5_.jpg;Buty Męskie;Rozmiary:  42  42.5  43  44  44.5  45 41, Kolor: Bordowy, Sezon: Jesień/Zima;1;200;1
556;Buty Nike Arrowz SE "Black";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916772_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916772_002_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
557;Buty Nike Air Max 90 Ultra 2.0 LTR "Dust";519.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/924447_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/924447_002_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
558;Buty Nike Air Max 90 Ultra 2.0 LTR "Black";519.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/924447_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/924447_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
559;Buty Nike Air Jordan 1 MID "Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_040_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_040_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
560;Buty Nike Air Max 90 Essential "Black";479.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/537384_053_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/537384_053_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
561;Buty Nike Classic Cortez Leather "Black";349.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749571_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749571_002_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
562;Buty Nike Air Jordan 1 MID "Anthtacite";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_045_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_045_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
563;Buty Nike Court Borough Mid Se "Dark Grey";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA0546_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA0546_002_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
564;Buty Nike Classic Cortez Leather "White";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749571_146_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749571_146_2D_0003.jpg;Buty Męskie;Rozmiary:  46 43, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
565;Buty Nike Court Borough MID SE "Black";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA0546_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA0546_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
566;Buty Nike Court Royale "Obsidian";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749747_401_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749747_401_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
567;Buty Nike Air Jordan 1 MID "White";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_104_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/554724_104_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
568;Buty Puma Rebound Street v2 L "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/36371601_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/36371601_2D_0003~1.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
569;Buty Nike SB Portmore ll Solar MD P "Black";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923199_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923199_001_2D_0003.jpg;Buty Męskie;Rozmiary:  43  44  46 42, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
570;